Segment,Kilometers_Driven,Miles_Driven,Mileage,Engine,Power,Seats,Price
non-luxury segment,32684,20309,21.9,624,37.48,4,9156
non-luxury segment,19698,12240,25.4,624,37.5,4,9156 
non-luxury segment,25500,15845,25.4,624,37.5,4,9156
non-luxury segment,93850,58316,14,796,35,5,9456
non-luxury segment,90000,55923,19.7,796,46.3,5,5232
non-luxury segment,94385,58648,19.7,796,46.3,5,5232 
non-luxury segment,16542,10279,25.17,799,53.3,5,5736
non-luxury segment,75000,46603,21.1,814,55.2,5,12300
non-luxury segment,39300,24420,18.2,998,67.1,5,9456
non-luxury segment,62000,38525,18.9,998,67.1,5,6612
non-luxury segment,43874,27262,18.9,998,67.1,5,6612
non-luxury segment,54000,33554,20.92,998,67.1,5,5232
non-luxury segment,88500,54991,24.07,998,67.1,5,5436
non-luxury segment,72000,44739,26.6,998,58.16,5,6612
non-luxury segment,89900,55861,26.6,998,58.16,5,6612
non-luxury segment,83816,52081,14,1061,64,5,6612
non-luxury segment,73745,45823,17,1086,74,5,5460
non-luxury segment,102000,63380,17,1086,74,5,5460
non-luxury segment,75000,46603,24.4,1120,71,5,9876
non-luxury segment,70000,43496,17.57,1193,88.7,5,8004
non-luxury segment,38053,23645,15.1,1196,73,5,6156
non-luxury segment,45178,28072,16.95,1197,78.9,5,12300
non-luxury segment,66000,41010,17,1197,80,5,12300
non-luxury segment,53000,32933,17.71,1197,78.9,5,7692
non-luxury segment,45807,28463,18.5,1197,80,5,12300
non-luxury segment,35487,22051,18.5,1197,82.9,5,12300
non-luxury segment,30180,18753,18.5,1197,82.85,5,12300
non-luxury segment,54000,33554,18.9,1197,82,5,8940
non-luxury segment,16000,9942,18.9,1197,82,5,8940
non-luxury segment,32000,19884,20.36,1197,78.9,5,12300
non-luxury segment,95980,59639,20.36,1197,78.9,5,12300
non-luxury segment,30232,18785,21.1,1197,85.8,5,9456
non-luxury segment,37300,23177,16.5,1198,86.8,5,7944
non-luxury segment,18949,11774,17.8,1198,86.7,5,10248
non-luxury segment,54944,34141,18,1198,86.7,5,10248
non-luxury segment,52000,32311,18.15,1198,82,5,9456
non-luxury segment,39882,24782,19.15,1198,75.94,5,11412
non-luxury segment,32851,20413,19.83,1198,67,7,7740
non-luxury segment,22033,13691,25.32,1198,77,6,9456
non-luxury segment,37430,23258,17.5,1199,88.7,5,12684
non-luxury segment,46000,28583,18.2,1199,88.7,5,10332
non-luxury segment,12000,7456,19,1199,88.7,5,11520
non-luxury segment,62000,38525,22.07,1199,73.9,5,12180
non-luxury segment,34212,21258,22.07,1199,73.9,5,12180
non-luxury segment,53000,32933,17.8,1248,75,5,9456
non-luxury segment,87000,54059,20.77,1248,88.76,7,13524
non-luxury segment,65932,40968,22.3,1248,74,5,9156
non-luxury segment,52000,32311,22.9,1248,74,5,9456
non-luxury segment,95100,59092,22.9,1248,74,5,9456
non-luxury segment,99638,61912,23.2,1248,73.94,5,9456
non-luxury segment,55392,34419,23.65,1248,88.5,5,9456
non-luxury segment,50075,31115,24.3,1248,88.5,5,13344
non-luxury segment,55000,34175,24.3,1248,88.5,5,11952
non-luxury segment,63000,39146,24.52,1248,88.5,7,13524
non-luxury segment,64424,40031,25.2,1248,74,5,9456
non-luxury segment,25000,15534,28.4,1248,74,5,9456
non-luxury segment,65650,40793,28.4,1248,74,5,9456
non-luxury segment,44285,27517,20.73,1373,91.1,5,13332
non-luxury segment,13000,8078,22.1,1396,88.7,5,14172
non-luxury segment,78958,49062,23,1396,90,5,12300
non-luxury segment,178000,110604,25,1396,69,5,9156
non-luxury segment,111111,69041,17.8,1399,132,5,14022
non-luxury segment,72000,44739,20,1399,68,5,9180
non-luxury segment,70337,43705,20,1399,68,5,9180
non-luxury segment,62000,38525,19.01,1461,108.45,5,18060
non-luxury segment,56066,34838,19.64,1461,108.5,5,19980
non-luxury segment,77469,48137,20.45,1461,83.8,5,18060
non-luxury segment,86999,54059,23.08,1461,63.1,5,11364
non-luxury segment,54000,33554,23.08,1461,63.1,5,11364
non-luxury segment,25692,15964,21.56,1462,103.25,5,12780
non-luxury segment,70002,43497,16.2,1493,110,5,17106
non-luxury segment,63000,39146,16.4,1497,78,5,16296
non-luxury segment,60000,37282,16.8,1497,116.3,5,16296 
non-luxury segment,51920,32262,16.8,1497,116.3,5,16296 
non-luxury segment,52000,32311,17.8,1497,117.3,5,16296 
non-luxury segment,55000,34175,21.21,1498,103.2,5,15876 
non-luxury segment,57000,35418,22.7,1498,89.84,5,14022 
non-luxury segment,58950,36630,25.8,1498,98.6,5,10248 
non-luxury segment,30000,18641,25.8,1498,98.6,5,10248 
non-luxury segment,41000,25476,19.67,1582,126.2,5,19272 
non-luxury segment,10250,6369,22,1582,126.2,5,17328 
non-luxury segment,40000,24855,22.32,1582,126.32,5,17106 
non-luxury segment,12645,7857,17,1591,121.3,5,16188 
luxury segment,29000,18020,14.8,1595,120.7,5,44436
luxury segment,37245,23143,14.8,1595,120.7,5,44436 
luxury segment,41380,25712,14.8,1595,120.7,5,44436 
non-luxury segment,33000,20505,14.4,1598,103.6,5,15876 
non-luxury segment,39000,24233,15.04,1598,103.2,5,15876 
non-luxury segment,62001,38526,15.26,1598,103.5,5,12180 
non-luxury segment,55431,34443,16.09,1598,103.5,5,14796 
luxury segment,20000,12427,18.86,1598,122,4,50544 
